Batsman Name,Batting Pos,selection1_batsmen_Out_NotOut,selection1_batsmen_Runs,selection1_batsmen_Balls,selection1_batsmen_Fours,selection1_batsmen_Sixes,selection1_batsmen_Strike_Rate,selection1_batsmen_Team,selection1_batsmen_Match_No,Ground,Date
Chris Jordan,8,c Hooda b Mohsin Khan,4,7,0,0,57.14,Mumbai Indians,Eliminator (N), Chennai, May 24
Hrithik Shokeen,9,not out,0,1,0,0,0,Mumbai Indians,Eliminator (N), Chennai, May 24
Kyle Mayers,1,c Green b Jordan,18,13,3,0,138.46,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Prerak Mankad,2,c Shokeen b Madhwal,3,6,0,0,50,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Krunal Pandya (c),3,c David b Chawla,8,11,1,0,72.72,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Marcus Stoinis,4,run out (David/†Ishan Kishan),40,27,5,1,148.14,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Ayush Badoni,5,b Madhwal,1,7,0,0,14.28,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Nicholas Pooran †,6,c †Ishan Kishan b Madhwal,0,1,0,0,0,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Deepak Hooda,7,run out (Green/Madhwal/Sharma),15,13,0,1,115.38,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Krishnappa Gowtham,8,run out (Sharma),2,3,0,0,66.66,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Ravi Bishnoi,9,c Jordan b Madhwal,3,6,0,0,50,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Naveen-ul-Haq,10,not out,1,5,0,0,20,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Mohsin Khan,11,b Madhwal,0,7,0,0,0,Lucknow Super Giants,Eliminator (N), Chennai, May 24
Wriddhiman Saha †,1,st †Ishan Kishan b Chawla,18,16,3,0,112.5,Gujarat Titans,Qualifier 2 (N), Ahmedabad, May 26
Shubman Gill,2,c David b Madhwal,129,60,7,10,215,Gujarat Titans,Qualifier 2 (N), Ahmedabad, May 26
Sai Sudharsan,3,retired out,43,31,5,1,138.7,Gujarat Titans,Qualifier 2 (N), Ahmedabad, May 26
Hardik Pandya (c),4,not out,28,13,2,2,215.38,Gujarat Titans,Qualifier 2 (N), Ahmedabad, May 26
Rashid Khan,5,not out,5,2,1,0,250,Gujarat Titans,Qualifier 2 (N), Ahmedabad, May 26
Rohit Sharma (c),1,c Little b Mohammed Shami,8,7,1,0,114.28,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Nehal Wadhera,2,c †Saha b Mohammed Shami,4,3,1,0,133.33,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Cameron Green,3,b Little,30,20,2,2,150,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Suryakumar Yadav,4,b Sharma,61,38,7,2,160.52,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Tilak Varma,5,b Rashid Khan,43,14,5,3,307.14,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Vishnu Vinod †,6,c Pandya b Sharma,5,7,0,0,71.42,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Tim David,7,lbw b Rashid Khan,2,3,0,0,66.66,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Chris Jordan,8,c Sai Sudharsan b Sharma,2,5,0,0,40,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Piyush Chawla,9,c Miller b Sharma,0,2,0,0,0,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Kumar Kartikeya,10,c Miller b Sharma,6,7,1,0,85.71,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Jason Behrendorff,11,not out,3,5,0,0,60,Mumbai Indians,Qualifier 2 (N), Ahmedabad, May 26
Wriddhiman Saha †,1,c †Dhoni b Chahar,54,39,5,1,138.46,Gujarat Titans,Final (N), Ahmedabad, May 28 - 29
Shubman Gill,2,st †Dhoni b Jadeja,39,20,7,0,195,Gujarat Titans,Final (N), Ahmedabad, May 28 - 29
Sai Sudharsan,3,lbw b Pathirana,96,47,8,6,204.25,Gujarat Titans,Final (N), Ahmedabad, May 28 - 29
Hardik Pandya (c),4,not out,21,12,0,2,175,Gujarat Titans,Final (N), Ahmedabad, May 28 - 29
Rashid Khan,5,c Gaikwad b Pathirana,0,2,0,0,0,Gujarat Titans,Final (N), Ahmedabad, May 28 - 29
Ruturaj Gaikwad,1,c Rashid Khan b Noor Ahmad,26,16,3,1,162.5,Chennai Super Kings,Final (N), Ahmedabad, May 28 - 29
Devon Conway,2,c Sharma b Noor Ahmad,47,25,4,2,188,Chennai Super Kings,Final (N), Ahmedabad, May 28 - 29
Shivam Dube,3,not out,32,21,0,2,152.38,Chennai Super Kings,Final (N), Ahmedabad, May 28 - 29
Ajinkya Rahane,4,c Shankar b Sharma,27,13,2,2,207.69,Chennai Super Kings,Final (N), Ahmedabad, May 28 - 29
Ambati Rayudu,5,c & b Sharma,19,8,1,2,237.5,Chennai Super Kings,Final (N), Ahmedabad, May 28 - 29
MS Dhoni (c)†,6,c Miller b Sharma,0,1,0,0,0,Chennai Super Kings,Final (N), Ahmedabad, May 28 - 29
Ravindra Jadeja,7,not out,15,6,1,1,250,Chennai Super Kings,Final (N), Ahmedabad, May 28 - 29
