"selection1_Bowler_name","selection1_Bowler_overs","selection1_Bowler_Runs","selection1_Bowler_wickets","selection1_Bowler_maidens","selection1_Bowler_Economy","selection1_Bowler_Dot_balls","selection1_Bowler_Fours","selection1_Bowler_Sixes","selection1_Bowler_wide_balls","selection1_Bowler_No_balls","selection1_Bowler_Match_no","selection1_Bowler_Team"
"Umran Malik","4","32","2","0","8.00","14","3","2","1","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Sam Curran","3","14","0","0","4.66","8","1","0","0","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Punjab Kings"
"Arshdeep Singh","3","20","1","0","6.66","10","4","0","0","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Harpreet Brar","3.1","26","0","0","8.21","8","5","0","0","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Punjab Kings"
"Nathan Ellis","3","28","0","0","9.33","5","5","0","0","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Punjab Kings"
"Rahul Chahar","3","28","1","0","9.33","8","4","1","0","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Mohit Rathee","2","29","0","0","14.50","3","3","2","0","0","14th Match (N), Hyderabad, April 09, 2023,
Indian Premier League","Punjab Kings"
"Jaydev Unadkat","2","27","0","0","13.50","3","2","2","1","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Lucknow Super Giants"
"Avesh Khan","4","53","0","0","13.25","8","5","4","0","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Lucknow Super Giants"
"Krunal Pandya","4","35","0","0","8.75","5","2","2","0","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Lucknow Super Giants"
"Mark Wood","4","32","1","1","8.00","12","1","3","2","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Ravi Bishnoi","4","39","0","0","9.75","5","1","3","1","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Lucknow Super Giants"
"Amit Mishra","2","18","1","0","9.00","2","1","1","0","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Mohammed Siraj","4","22","3","0","5.50","16","3","0","4","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"David Willey","4","32","0","0","8.00","6","2","1","1","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Wayne Parnell","4","41","3","0","10.25","6","5","1","3","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Harshal Patel","4","48","2","0","12.00","5","4","3","0","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Karn Sharma","3","48","1","0","16.00","5","3","5","1","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Shahbaz Ahmed","1","15","0","0","15.00","1","0","2","0","0","15th Match (N), Bengaluru, April 10, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Jason Behrendorff","3","23","3","0","7.66","8","1","2","0","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Arshad Khan","1","12","0","0","12.00","1","2","0","1","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Mumbai Indians"
"Cameron Green","3","30","0","0","10.00","4","5","0","1","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Mumbai Indians"
"Hrithik Shokeen","4","43","1","0","10.75","10","4","2","1","1","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Riley Meredith","3.4","34","2","0","9.27","10","5","1","0","1","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Piyush Chawla","4","22","3","0","5.50","9","2","0","0","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Tilak Varma","1","7","0","0","7.00","3","1","0","1","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Mumbai Indians"
"Mukesh Kumar","2","30","2","0","15.00","6","3","3","0","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Mustafizur Rahman","4","38","1","0","9.50","11","5","2","0","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Delhi Capitals"
"Anrich Nortje","4","35","0","0","8.75","8","2","2","0","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Delhi Capitals"
"Lalit Yadav","4","23","0","0","5.75","10","1","1","1","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Delhi Capitals"
"Axar Patel","4","20","0","0","5.00","12","2","0","1","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Delhi Capitals"
"Kuldeep Yadav","2","23","0","0","11.50","2","1","2","0","0","16th Match (N), Delhi, April 11, 2023,
Indian Premier League","Delhi Capitals"
"Akash Singh","4","40","2","0","10.00","7","2","3","1","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Tushar Deshpande","4","37","2","0","9.25","7","4","1","1","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Maheesh Theekshana","4","42","0","0","10.50","4","5","1","0","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Chennai Super Kings"
"Ravindra Jadeja","4","21","2","0","5.25","11","0","0","3","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Moeen Ali","2","21","1","0","10.50","3","0","2","0","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Chennai Super Kings"
"Sisanda Magala","2","14","0","0","7.00","2","0","0","1","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Chennai Super Kings"
"Sandeep Sharma","3","30","1","0","10.00","6","1","2","2","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Kuldeep Sen","2","8","0","0","4.00","4","0","0","0","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Rajasthan Royals"
"Jason Holder","3","37","0","0","12.33","4","4","2","1","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Rajasthan Royals"
"Adam Zampa","4","43","1","0","10.75","5","4","1","1","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Rajasthan Royals"
"Ravichandran Ashwin","4","25","2","0","6.25","10","1","1","2","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Yuzvendra Chahal","4","27","2","0","6.75","8","2","0","1","0","17th Match (N), Chennai, April 12, 2023,
Indian Premier League","Rajasthan Royals"
"Mohammed Shami","4","44","1","0","11.00","9","7","1","1","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Josh Little","4","31","1","0","7.75","11","3","1","3","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Alzarri Joseph","4","32","1","0","8.00","11","1","2","5","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Gujarat Titans"
"Rashid Khan","4","26","1","0","6.50","13","3","1","0","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Mohit Sharma","4","18","2","0","4.50","12","2","0","0","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Arshdeep Singh","4","33","1","0","8.25","8","5","0","0","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Punjab Kings"
"Kagiso Rabada","4","36","1","0","9.00","11","5","1","0","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Harpreet Brar","4","20","1","0","5.00","8","1","0","0","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Punjab Kings"
"Sam Curran","3.5","25","1","0","6.52","7","2","0","0","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Rahul Chahar","3","24","0","0","8.00","4","3","0","0","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Punjab Kings"
"Matthew Short","1","8","0","0","8.00","1","1","0","0","0","18th Match (N), Mohali, April 13, 2023,
Indian Premier League","Punjab Kings"
"Umesh Yadav","3","42","0","0","14.00","3","3","3","1","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Kolkata Knight Riders"
"Lockie Ferguson","2","37","0","0","18.50","4","5","1","1","1","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Kolkata Knight Riders"
"Sunil Narine","4","28","0","0","7.00","7","1","1","2","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Kolkata Knight Riders"
"Andre Russell","2.1","22","3","0","10.15","4","2","1","2","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Varun Chakravarthy","4","41","1","0","10.25","4","3","2","1","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Kolkata Knight Riders"
"Suyash Sharma","4","44","0","0","11.00","8","4","3","0","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Kolkata Knight Riders"
"Shardul Thakur","0.5","14","0","0","16.80","0","3","0","0","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Kolkata Knight Riders"
"Bhuvneshwar Kumar","4","29","1","1","7.25","10","4","0","1","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Marco Jansen","4","37","2","0","9.25","12","1","3","4","2","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Sunrisers Hyderabad"
"T Natarajan","4","54","1","0","13.50","6","6","3","1","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Umran Malik","2","36","1","0","18.00","3","4","3","0","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Mayank Markande","4","27","2","0","6.75","10","2","1","0","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Washington Sundar","2","20","0","0","10.00","2","1","1","0","0","19th Match (N), Eden Gardens, April 14, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Anrich Nortje","4","31","0","0","7.75","9","3","0","2","1","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Delhi Capitals"
"Axar Patel","3","25","1","0","8.33","9","0","3","0","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Delhi Capitals"
"Mustafizur Rahman","3","41","0","0","13.66","2","5","2","0","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Delhi Capitals"
"Mitchell Marsh","2","18","2","0","9.00","5","2","1","0","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Lalit Yadav","4","29","1","0","7.25","7","0","2","1","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Kuldeep Yadav","4","23","2","1","5.75","10","3","0","0","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Mohammed Siraj","4","23","2","0","5.75","14","4","0","0","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Wayne Parnell","4","28","1","0","7.00","10","3","1","0","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Vijaykumar Vyshak","4","20","3","0","5.00","11","2","0","0","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Shahbaz Ahmed","1","11","0","0","11.00","0","1","0","0","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Wanindu Hasaranga","3","37","1","0","12.33","4","5","1","0","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Harshal Patel","4","32","1","0","8.00","7","3","0","3","0","20th Match (D/N), Bengaluru, April 15, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Matthew Short","2","10","0","0","5.00","7","0","1","0","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Punjab Kings"
"Arshdeep Singh","3","22","1","0","7.33","7","3","0","1","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Punjab Kings"
"Kagiso Rabada","4","34","2","0","8.50","11","2","2","2","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Sam Curran","4","31","3","0","7.75","9","2","1","2","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Harpreet Brar","2","10","1","0","5.00","6","1","0","0","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Sikandar Raza","2","19","1","0","9.50","2","2","0","0","1","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Punjab Kings"
"Rahul Chahar","3","28","0","0","9.33","5","1","2","1","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Punjab Kings"
"Yudhvir Singh","3","19","2","0","6.33","11","4","0","0","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Avesh Khan","3","24","0","0","8.00","8","4","0","1","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Lucknow Super Giants"
"Mark Wood","4","35","2","0","8.75","10","2","2","2","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Krishnappa Gowtham","4","31","1","0","7.75","10","1","2","1","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Krunal Pandya","3","32","1","0","10.66","6","3","2","0","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Ravi Bishnoi","2.3","18","2","0","7.20","7","2","0","1","0","21st Match (N), Lucknow, April 15, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Arjun Tendulkar","2","17","0","0","8.50","6","1","1","1","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Mumbai Indians"
"Cameron Green","2","20","1","0","10.00","6","1","1","2","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Duan Jansen","4","53","1","0","13.25","6","3","4","4","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Piyush Chawla","4","19","1","0","4.75","10","1","0","0","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Mumbai Indians"
"Hrithik Shokeen","4","34","2","0","8.50","7","3","1","1","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Riley Meredith","4","40","1","0","10.00","9","3","3","0","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Mumbai Indians"
"Umesh Yadav","2","19","0","0","9.50","6","1","2","0","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Kolkata Knight Riders"
"Shardul Thakur","2","25","1","0","12.50","2","3","1","1","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Kolkata Knight Riders"
"Sunil Narine","3","41","0","0","13.66","4","3","3","1","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Kolkata Knight Riders"
"Suyash Sharma","4","27","2","0","6.75","11","3","1","0","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Kolkata Knight Riders"
"Varun Chakravarthy","4","38","1","0","9.50","10","2","3","1","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Kolkata Knight Riders"
"See all photos","","","","","","","","","","","",""
"Lockie Ferguson","1.4","19","1","0","11.40","4","1","2","0","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Kolkata Knight Riders"
"Andre Russell","1","17","0","0","17.00","1","2","1","0","0","22nd Match (D/N), Wankhede, April 16, 2023,
Indian Premier League","Kolkata Knight Riders"
"Trent Boult","4","46","1","0","11.50","6","4","2","2","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Sandeep Sharma","4","25","2","0","6.25","10","3","0","1","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Adam Zampa","4","32","1","0","8.00","9","2","2","0","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Rajasthan Royals"
"Ravichandran Ashwin","4","37","0","0","9.25","5","4","1","0","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Rajasthan Royals"
"Yuzvendra Chahal","4","36","1","0","9.00","3","0","2","1","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Rajasthan Royals"
"Mohammed Shami","4","25","3","1","6.25","18","1","3","1","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Hardik Pandya","4","24","1","0","6.00","14","3","1","0","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Alzarri Joseph","3","47","0","0","15.66","2","3","4","0","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Gujarat Titans"
"Rashid Khan","4","46","2","0","11.50","7","1","5","0","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Mohit Sharma","2","7","0","0","3.50","5","0","0","0","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Gujarat Titans"
"Noor Ahmad","2.2","29","1","0","12.42","3","2","2","1","0","23rd Match (N), Ahmedabad, April 16, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Mohammed Siraj","4","30","1","0","7.50","10","1","2","1","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Wayne Parnell","4","48","1","0","12.00","7","3","4","0","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Vijaykumar Vyshak","4","62","1","0","15.50","3","5","5","0","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Glenn Maxwell","2.4","28","1","0","10.50","4","0","3","1","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Wanindu Hasaranga","2","21","1","0","10.50","1","1","1","0","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Harshal Patel","3.2","36","1","0","10.80","8","2","2","2","2","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Akash Singh","3","35","1","0","11.66","9","3","3","0","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Tushar Deshpande","4","45","3","0","11.25","9","5","2","3","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Maheesh Theekshana","4","41","1","0","10.25","4","1","3","1","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Ravindra Jadeja","4","37","0","0","9.25","3","0","3","0","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Chennai Super Kings"
"Matheesha Pathirana","4","42","2","0","10.50","9","3","3","2","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Chennai Super Kings"
"See all photos","","","","","","","","","","","",""
"Moeen Ali","1","13","1","0","13.00","3","0","2","0","0","24th Match (N), Bengaluru, April 17, 2023,
Indian Premier League","Chennai Super Kings"
"Bhuvneshwar Kumar","4","31","1","0","7.75","8","1","2","0","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Marco Jansen","4","43","2","0","10.75","11","3","4","1","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Washington Sundar","4","33","0","0","8.25","10","4","1","0","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Sunrisers Hyderabad"
"T Natarajan","4","50","1","0","12.50","3","7","1","0","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Sunrisers Hyderabad"
"See all photos","","","","","","","","","","","",""
"Mayank Markande","4","35","0","0","8.75","9","4","1","1","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Arjun Tendulkar","2.5","18","1","0","6.35","9","2","0","3","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Jason Behrendorff","4","37","2","0","9.25","7","5","0","1","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Riley Meredith","4","33","2","0","8.25","10","3","1","3","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Mumbai Indians"
"Hrithik Shokeen","1","12","0","0","12.00","1","0","1","0","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Mumbai Indians"
"Piyush Chawla","4","43","2","0","10.75","5","4","2","0","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Cameron Green","4","29","1","0","7.25","9","4","0","1","0","25th Match (N), Hyderabad, April 18, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Trent Boult","4","16","1","1","4.00","18","1","1","0","0","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Sandeep Sharma","4","32","1","0","8.00","8","4","0","0","1","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Ravichandran Ashwin","4","23","2","0","5.75","9","2","0","1","0","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Yuzvendra Chahal","4","41","0","0","10.25","5","3","2","0","0","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Rajasthan Royals"
"Jason Holder","4","38","1","0","9.50","7","3","2","0","0","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Naveen-ul-Haq","4","19","0","0","4.75","11","0","1","1","0","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Lucknow Super Giants"
"Yudhvir Singh","2","27","0","0","13.50","6","2","2","1","0","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Lucknow Super Giants"
"Avesh Khan","4","25","3","0","6.25","12","4","0","0","0","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Marcus Stoinis","4","28","2","0","7.00","11","3","1","0","0","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Lucknow Super Giants"
"See all photos","","","","","","","","","","","",""
"Ravi Bishnoi","4","25","0","0","6.25","8","2","0","0","1","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Lucknow Super Giants"
"Amit Mishra","2","15","0","0","7.50","3","2","0","0","0","26th Match (N), Jaipur, April 19, 2023,
Indian Premier League","Lucknow Super Giants"
"Arshdeep Singh","4","34","1","0","8.50","8","5","0","1","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Harpreet Brar","3","31","2","0","10.33","7","1","3","0","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Punjab Kings"
"See all photos","","","","","","","","","","","",""
"Nathan Ellis","4","41","1","0","10.25","8","2","3","1","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Punjab Kings"
"Sam Curran","4","27","0","0","6.75","6","1","0","0","1","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Punjab Kings"
"Rahul Chahar","4","24","0","0","6.00","7","2","0","0","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Punjab Kings"
"Liam Livingstone","1","9","0","0","9.00","0","1","0","0","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Punjab Kings"
"Mohammed Siraj","4","21","4","0","5.25","13","3","0","0","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Wayne Parnell","3","32","1","0","10.66","9","1","4","0","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Wanindu Hasaranga","4","39","2","0","9.75","7","2","3","0","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Vijaykumar Vyshak","3","29","0","0","9.66","6","2","2","1","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Glenn Maxwell","1","5","0","0","5.00","1","0","0","0","0","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Harshal Patel","3.2","22","1","0","6.60","10","1","1","1","1","27th Match (D/N), Mohali, April 20, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Ishant Sharma","4","19","2","0","4.75","13","2","0","1","0","28th Match (N), Delhi, April 20, 2023,
Indian Premier League","Delhi Capitals"
