"selection1_Bowler_name","selection1_Bowler_overs","selection1_Bowler_Runs","selection1_Bowler_wickets","selection1_Bowler_maidens","selection1_Bowler_Economy","selection1_Bowler_Dot_balls","selection1_Bowler_Fours","selection1_Bowler_Sixes","selection1_Bowler_wide_balls","selection1_Bowler_No_balls","selection1_Bowler_Match_no","selection1_Bowler_Team"
"Fazalhaq Farooqi","4","41","2","0","10.25","11","7","0","0","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Washington Sundar","3","32","0","0","10.66","5","1","3","0","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Sunrisers Hyderabad"
"T Natarajan","3","23","2","0","7.66","7","4","0","0","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Adil Rashid","4","33","0","0","8.25","6","1","2","0","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Umran Malik","3","32","1","0","10.66","4","4","1","1","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Sunrisers Hyderabad"
"Trent Boult","4","21","2","1","5.25","15","2","1","0","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Rajasthan Royals"
"KM Asif","3","15","0","0","5.00","9","1","0","1","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Rajasthan Royals"
"Jason Holder","3","16","1","0","5.33","10","1","1","0","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Ravichandran Ashwin","4","27","1","0","6.75","10","1","1","2","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Yuzvendra Chahal","4","17","4","0","4.25","11","0","0","0","0","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Rajasthan Royals"
"See all photos","","","","","","","","","","","",""
"Navdeep Saini","2","34","0","0","17.00","3","3","2","0","3","4th Match (D/N), Hyderabad, April 02, 2023,
Indian Premier League","Rajasthan Royals"
"Mohammed Siraj","4","21","1","0","5.25","16","2","0","6","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Reece Topley","2","14","1","0","7.00","7","3","0","0","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Akash Deep","3","29","1","0","9.66","7","2","2","0","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Harshal Patel","4","43","1","0","10.75","6","3","2","1","1","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Karn Sharma","4","32","2","0","8.00","7","1","2","1","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Michael Bracewell","2","16","1","0","8.00","6","3","0","0","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Royal Challengers Bangalore"
"See all photos","","","","","","","","","","","",""
"Glenn Maxwell","1","16","0","0","16.00","0","1","1","1","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Royal Challengers Bangalore"
"Jason Behrendorff","3","37","0","0","12.33","6","3","3","0","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Mumbai Indians"
"Arshad Khan","2.2","28","1","0","12.00","7","2","2","4","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Mumbai Indians"
"See all photos","","","","","","","","","","","",""
"Jofra Archer","4","33","0","0","8.25","10","2","2","0","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Mumbai Indians"
"Piyush Chawla","4","26","0","0","6.50","11","2","1","0","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Mumbai Indians"
"Cameron Green","2","30","1","0","15.00","4","2","3","0","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Mumbai Indians"
"Hrithik Shokeen","1","17","0","0","17.00","0","0","2","0","0","5th Match (N), Bengaluru, April 02, 2023,
Indian Premier League","Mumbai Indians"
"Kyle Mayers","2","16","0","0","8.00","1","1","0","1","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Lucknow Super Giants"
"Avesh Khan","3","39","1","0","13.00","4","6","0","1","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Lucknow Super Giants"
"Krunal Pandya","2","21","0","0","10.50","4","1","2","0","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Lucknow Super Giants"
"Krishnappa Gowtham","1","20","0","0","20.00","2","0","3","0","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Lucknow Super Giants"
"Mark Wood","4","49","3","0","12.25","9","3","5","0","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Lucknow Super Giants"
"Yash Thakur","4","36","0","0","9.00","4","3","1","0","1","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Lucknow Super Giants"
"Ravi Bishnoi","4","28","3","0","7.00","13","1","2","1","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Lucknow Super Giants"
"Deepak Chahar","4","55","0","0","13.75","6","7","1","5","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Chennai Super Kings"
"Ben Stokes","1","18","0","0","18.00","0","2","1","0","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Chennai Super Kings"
"Tushar Deshpande","4","45","2","0","11.25","7","2","2","4","3","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Chennai Super Kings"
"Moeen Ali","4","26","4","0","6.50","10","0","1","1","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Chennai Super Kings"
"Mitchell Santner","4","21","1","0","5.25","9","0","1","0","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Chennai Super Kings"
"Rajvardhan Hangargekar","2","24","0","0","12.00","4","2","1","3","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Chennai Super Kings"
"Ravindra Jadeja","1","14","0","0","14.00","2","0","2","0","0","6th Match (N), Chennai, April 03, 2023,
Indian Premier League","Chennai Super Kings"
"Mohammed Shami","4","41","3","0","10.25","15","5","1","4","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Josh Little","4","27","0","0","6.75","11","2","1","0","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Gujarat Titans"
"Hardik Pandya","3","18","0","0","6.00","6","2","0","0","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Gujarat Titans"
"Alzarri Joseph","4","29","2","0","7.25","13","3","1","1","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Yash Dayal","1","12","0","0","12.00","0","0","1","0","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Gujarat Titans"
"Rashid Khan","4","31","3","0","7.75","9","2","2","0","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Gujarat Titans"
"See all photos","","","","","","","","","","","",""
"Khaleel Ahmed","4","38","1","0","9.50","9","5","1","1","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Mukesh Kumar","4","42","0","0","10.50","8","5","2","1","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Delhi Capitals"
"Anrich Nortje","4","39","2","0","9.75","9","3","2","0","2","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Delhi Capitals"
"See all photos","","","","","","","","","","","",""
"Mitchell Marsh","3.1","24","1","0","7.57","4","1","0","1","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Delhi Capitals"
"Kuldeep Yadav","3","18","0","0","6.00","5","1","0","1","0","7th Match (N), Delhi, April 04, 2023,
Indian Premier League","Delhi Capitals"
