batsmen,Batting Pos,out_notout,runs,balls,fours,sixes,sr,team,Match_id,Ground,Date
Harpreet Singh,4,out,22,22.0,3.0,0.0,100,Punjab Kings,21st, Lucknow, April 15
Sikandar Raza,5,out,57,41.0,4.0,3.0,139.02,Punjab Kings,21st, Lucknow, April 15
Sam Curran (c),6,out,6,6.0,1.0,0.0,100,Punjab Kings,21st, Lucknow, April 15
Jitesh Sharma †,7,out,2,4.0,0.0,0.0,50,Punjab Kings,21st, Lucknow, April 15
M Shahrukh Khan,8,not out,23,10.0,1.0,2.0,230,Punjab Kings,21st, Lucknow, April 15
Harpreet Brar,9,out,6,4.0,1.0,0.0,150,Punjab Kings,21st, Lucknow, April 15
Kagiso Rabada,10,not out,0,1.0,0.0,0.0,0,Punjab Kings,21st, Lucknow, April 15
Rahmanullah Gurbaz †,1,out,8,12.0,0.0,0.0,66.66,Kolkata Knight Riders,22nd, Wankhede, April 16
Narayan Jagadeesan,2,out,0,5.0,0.0,0.0,0,Kolkata Knight Riders,22nd, Wankhede, April 16
Venkatesh Iyer,3,out,104,51.0,6.0,9.0,203.92,Kolkata Knight Riders,22nd, Wankhede, April 16
Nitish Rana (c),4,out,5,10.0,0.0,0.0,50,Kolkata Knight Riders,22nd, Wankhede, April 16
Shardul Thakur,5,out,13,11.0,1.0,0.0,118.18,Kolkata Knight Riders,22nd, Wankhede, April 16
Rinku Singh,6,out,18,18.0,2.0,0.0,100,Kolkata Knight Riders,22nd, Wankhede, April 16
Andre Russell,7,not out,21,11.0,3.0,1.0,190.9,Kolkata Knight Riders,22nd, Wankhede, April 16
Sunil Narine,8,not out,2,2.0,0.0,0.0,100,Kolkata Knight Riders,22nd, Wankhede, April 16
Rohit Sharma,1,out,20,13.0,1.0,2.0,153.84,Mumbai Indians,22nd, Wankhede, April 16
Ishan Kishan †,2,out,58,25.0,5.0,5.0,232,Mumbai Indians,22nd, Wankhede, April 16
Suryakumar Yadav (c),3,out,43,25.0,4.0,3.0,172,Mumbai Indians,22nd, Wankhede, April 16
Tilak Varma,4,out,30,25.0,3.0,1.0,120,Mumbai Indians,22nd, Wankhede, April 16
Tim David,5,not out,24,13.0,1.0,2.0,184.61,Mumbai Indians,22nd, Wankhede, April 16
Nehal Wadhera,6,out,6,4.0,1.0,0.0,150,Mumbai Indians,22nd, Wankhede, April 16
Cameron Green,7,not out,1,1.0,0.0,0.0,100,Mumbai Indians,22nd, Wankhede, April 16
Wriddhiman Saha †,1,out,4,3.0,1.0,0.0,133.33,Gujarat Titans,23rd, Ahmedabad, April 16
Shubman Gill,2,out,45,34.0,4.0,1.0,132.35,Gujarat Titans,23rd, Ahmedabad, April 16
Sai Sudharsan,3,out,20,19.0,2.0,0.0,105.26,Gujarat Titans,23rd, Ahmedabad, April 16
Hardik Pandya (c),4,out,28,19.0,3.0,1.0,147.36,Gujarat Titans,23rd, Ahmedabad, April 16
David Miller,5,out,46,30.0,3.0,2.0,153.33,Gujarat Titans,23rd, Ahmedabad, April 16
Abhinav Manohar,6,out,27,13.0,0.0,3.0,207.69,Gujarat Titans,23rd, Ahmedabad, April 16
Rahul Tewatia,7,not out,1,1.0,0.0,0.0,100,Gujarat Titans,23rd, Ahmedabad, April 16
Rashid Khan,8,out,1,1.0,0.0,0.0,100,Gujarat Titans,23rd, Ahmedabad, April 16
Alzarri Joseph,9,not out,0,0.0,0.0,0.0,-,Gujarat Titans,23rd, Ahmedabad, April 16
Yashasvi Jaiswal,1,out,1,7.0,0.0,0.0,14.28,Rajasthan Royals,23rd, Ahmedabad, April 16
Jos Buttler,2,out,0,5.0,0.0,0.0,0,Rajasthan Royals,23rd, Ahmedabad, April 16
Devdutt Padikkal,3,out,26,25.0,2.0,2.0,104,Rajasthan Royals,23rd, Ahmedabad, April 16
Sanju Samson (c)†,4,out,60,32.0,3.0,6.0,187.5,Rajasthan Royals,23rd, Ahmedabad, April 16
Riyan Parag,5,out,5,7.0,0.0,0.0,71.42,Rajasthan Royals,23rd, Ahmedabad, April 16
Shimron Hetmyer,6,not out,56,26.0,2.0,5.0,215.38,Rajasthan Royals,23rd, Ahmedabad, April 16
Dhruv Jurel,7,out,18,10.0,2.0,1.0,180,Rajasthan Royals,23rd, Ahmedabad, April 16
Ravichandran Ashwin,8,out,10,3.0,1.0,1.0,333.33,Rajasthan Royals,23rd, Ahmedabad, April 16
Trent Boult,9,not out,0,1.0,0.0,0.0,0,Rajasthan Royals,23rd, Ahmedabad, April 16
Ruturaj Gaikwad,1,out,3,6.0,0.0,0.0,50,Chennai Super Kings,24th, Bengaluru, April 17
Devon Conway,2,out,83,45.0,6.0,6.0,184.44,Chennai Super Kings,24th, Bengaluru, April 17
Ajinkya Rahane,3,out,37,20.0,3.0,2.0,185,Chennai Super Kings,24th, Bengaluru, April 17
Shivam Dube,4,out,52,27.0,2.0,5.0,192.59,Chennai Super Kings,24th, Bengaluru, April 17
Ambati Rayudu,5,out,14,6.0,1.0,1.0,233.33,Chennai Super Kings,24th, Bengaluru, April 17
Moeen Ali,6,not out,19,9.0,0.0,2.0,211.11,Chennai Super Kings,24th, Bengaluru, April 17
Ravindra Jadeja,7,out,10,8.0,0.0,1.0,125,Chennai Super Kings,24th, Bengaluru, April 17
MS Dhoni (c)†,8,not out,1,1.0,0.0,0.0,100,Chennai Super Kings,24th, Bengaluru, April 17
Virat Kohli,1,out,6,4.0,1.0,0.0,150,Royal Challengers Bangalore,24th, Bengaluru, April 17
Faf du Plessis (c),2,out,62,33.0,5.0,4.0,187.87,Royal Challengers Bangalore,24th, Bengaluru, April 17
Mahipal Lomror,3,out,0,5.0,0.0,0.0,0,Royal Challengers Bangalore,24th, Bengaluru, April 17
Glenn Maxwell,4,out,76,36.0,3.0,8.0,211.11,Royal Challengers Bangalore,24th, Bengaluru, April 17
Shahbaz Ahmed,5,out,12,10.0,0.0,1.0,120,Royal Challengers Bangalore,24th, Bengaluru, April 17
Dinesh Karthik †,6,out,28,14.0,3.0,1.0,200,Royal Challengers Bangalore,24th, Bengaluru, April 17
Suyash Prabhudessai,7,out,19,11.0,0.0,2.0,172.72,Royal Challengers Bangalore,24th, Bengaluru, April 17
Wayne Parnell,8,out,2,5.0,0.0,0.0,40,Royal Challengers Bangalore,24th, Bengaluru, April 17
Wanindu Hasaranga,9,not out,2,2.0,0.0,0.0,100,Royal Challengers Bangalore,24th, Bengaluru, April 17
Rohit Sharma (c),1,out,28,18.0,6.0,0.0,155.55,Mumbai Indians,25th, Hyderabad, April 18
Ishan Kishan †,2,out,38,31.0,3.0,2.0,122.58,Mumbai Indians,25th, Hyderabad, April 18
Cameron Green,3,not out,64,40.0,6.0,2.0,160,Mumbai Indians,25th, Hyderabad, April 18
Suryakumar Yadav,4,out,7,3.0,0.0,1.0,233.33,Mumbai Indians,25th, Hyderabad, April 18
Tilak Varma,5,out,37,17.0,2.0,4.0,217.64,Mumbai Indians,25th, Hyderabad, April 18
Tim David,6,out,16,11.0,2.0,0.0,145.45,Mumbai Indians,25th, Hyderabad, April 18
Harry Brook,1,out,9,7.0,2.0,0.0,128.57,Sunrisers Hyderabad,25th, Hyderabad, April 18
Mayank Agarwal,2,out,48,41.0,4.0,1.0,117.07,Sunrisers Hyderabad,25th, Hyderabad, April 18
Rahul Tripathi,3,out,7,5.0,1.0,0.0,140,Sunrisers Hyderabad,25th, Hyderabad, April 18
Aiden Markram (c),4,out,22,17.0,1.0,1.0,129.41,Sunrisers Hyderabad,25th, Hyderabad, April 18
Abhishek Sharma,5,out,1,2.0,0.0,0.0,50,Sunrisers Hyderabad,25th, Hyderabad, April 18
Heinrich Klaasen †,6,out,36,16.0,4.0,2.0,225,Sunrisers Hyderabad,25th, Hyderabad, April 18
Abdul Samad,7,out,9,12.0,1.0,0.0,75,Sunrisers Hyderabad,25th, Hyderabad, April 18
Marco Jansen,8,out,13,6.0,3.0,0.0,216.66,Sunrisers Hyderabad,25th, Hyderabad, April 18
Washington Sundar,9,out,10,6.0,2.0,0.0,166.66,Sunrisers Hyderabad,25th, Hyderabad, April 18
Bhuvneshwar Kumar,10,out,2,5.0,0.0,0.0,40,Sunrisers Hyderabad,25th, Hyderabad, April 18
Mayank Markande,11,not out,2,2.0,0.0,0.0,100,Sunrisers Hyderabad,25th, Hyderabad, April 18
KL Rahul (c),1,out,39,32.0,4.0,1.0,121.87,Lucknow Super Giants,26th, Jaipur, April 19
Kyle Mayers,2,out,51,42.0,4.0,3.0,121.42,Lucknow Super Giants,26th, Jaipur, April 19
Ayush Badoni,3,out,1,4.0,0.0,0.0,25,Lucknow Super Giants,26th, Jaipur, April 19
Deepak Hooda,4,out,2,4.0,0.0,0.0,50,Lucknow Super Giants,26th, Jaipur, April 19
Marcus Stoinis,5,out,21,16.0,2.0,0.0,131.25,Lucknow Super Giants,26th, Jaipur, April 19
Nicholas Pooran †,6,out,29,20.0,2.0,1.0,145,Lucknow Super Giants,26th, Jaipur, April 19
Krunal Pandya,7,not out,4,2.0,1.0,0.0,200,Lucknow Super Giants,26th, Jaipur, April 19
Yudhvir Singh,8,out,1,1.0,0.0,0.0,100,Lucknow Super Giants,26th, Jaipur, April 19
Yashasvi Jaiswal,1,out,44,35.0,4.0,2.0,125.71,Rajasthan Royals,26th, Jaipur, April 19
Jos Buttler,2,out,40,41.0,4.0,1.0,97.56,Rajasthan Royals,26th, Jaipur, April 19
Sanju Samson (c)†,3,out,2,4.0,0.0,0.0,50,Rajasthan Royals,26th, Jaipur, April 19
Devdutt Padikkal,4,out,26,21.0,4.0,0.0,123.8,Rajasthan Royals,26th, Jaipur, April 19
Shimron Hetmyer,5,out,2,5.0,0.0,0.0,40,Rajasthan Royals,26th, Jaipur, April 19
Riyan Parag,6,not out,15,12.0,1.0,1.0,125,Rajasthan Royals,26th, Jaipur, April 19
Dhruv Jurel,7,out,0,1.0,0.0,0.0,0,Rajasthan Royals,26th, Jaipur, April 19
Ravichandran Ashwin,8,not out,3,2.0,0.0,0.0,150,Rajasthan Royals,26th, Jaipur, April 19
Virat Kohli (c),1,out,59,47.0,5.0,1.0,125.53,Royal Challengers Bangalore,27th, Mohali, April 20
Faf du Plessis,2,out,84,56.0,5.0,5.0,150,Royal Challengers Bangalore,27th, Mohali, April 20
Glenn Maxwell,3,out,0,1.0,0.0,0.0,0,Royal Challengers Bangalore,27th, Mohali, April 20
Dinesh Karthik †,4,out,7,5.0,1.0,0.0,140,Royal Challengers Bangalore,27th, Mohali, April 20
Mahipal Lomror,5,not out,7,9.0,1.0,0.0,77.77,Royal Challengers Bangalore,27th, Mohali, April 20
Shahbaz Ahmed,6,not out,5,3.0,0.0,0.0,166.66,Royal Challengers Bangalore,27th, Mohali, April 20
Atharva Taide,1,out,4,2.0,1.0,0.0,200,Punjab Kings,27th, Mohali, April 20
Prabhsimran Singh,2,out,46,30.0,3.0,4.0,153.33,Punjab Kings,27th, Mohali, April 20
Matthew Short,3,out,8,7.0,0.0,1.0,114.28,Punjab Kings,27th, Mohali, April 20
Liam Livingstone,4,out,2,4.0,0.0,0.0,50,Punjab Kings,27th, Mohali, April 20
Harpreet Singh,5,out,13,9.0,1.0,1.0,144.44,Punjab Kings,27th, Mohali, April 20
Sam Curran (c),6,out,10,12.0,1.0,0.0,83.33,Punjab Kings,27th, Mohali, April 20
Jitesh Sharma †,7,out,41,27.0,2.0,3.0,151.85,Punjab Kings,27th, Mohali, April 20
M Shahrukh Khan,8,out,7,5.0,0.0,1.0,140,Punjab Kings,27th, Mohali, April 20
Harpreet Brar,9,out,13,13.0,1.0,0.0,100,Punjab Kings,27th, Mohali, April 20
Nathan Ellis,10,out,1,2.0,0.0,0.0,50,Punjab Kings,27th, Mohali, April 20
Arshdeep Singh,11,not out,0,0.0,0.0,0.0,-,Punjab Kings,27th, Mohali, April 20
Jason Roy,1,out,43,39.0,5.0,1.0,110.25,Kolkata Knight Riders,28th, Delhi, April 20
Litton Das †,2,out,4,4.0,1.0,0.0,100,Kolkata Knight Riders,28th, Delhi, April 20
Venkatesh Iyer,3,out,0,2.0,0.0,0.0,0,Kolkata Knight Riders,28th, Delhi, April 20
Nitish Rana (c),4,out,4,7.0,1.0,0.0,57.14,Kolkata Knight Riders,28th, Delhi, April 20
Mandeep Singh,5,out,12,11.0,0.0,1.0,109.09,Kolkata Knight Riders,28th, Delhi, April 20
Rinku Singh,6,out,6,8.0,1.0,0.0,75,Kolkata Knight Riders,28th, Delhi, April 20
Sunil Narine,7,out,4,6.0,1.0,0.0,66.66,Kolkata Knight Riders,28th, Delhi, April 20
Andre Russell,8,not out,38,31.0,1.0,4.0,122.58,Kolkata Knight Riders,28th, Delhi, April 20
Anukul Roy,9,out,0,1.0,0.0,0.0,0,Kolkata Knight Riders,28th, Delhi, April 20
Umesh Yadav,10,out,3,5.0,0.0,0.0,60,Kolkata Knight Riders,28th, Delhi, April 20
Varun Chakravarthy,11,out,1,6.0,0.0,0.0,16.66,Kolkata Knight Riders,28th, Delhi, April 20
David Warner (c),1,out,57,41.0,11.0,0.0,139.02,Delhi Capitals,28th, Delhi, April 20
Prithvi Shaw,2,out,13,11.0,2.0,0.0,118.18,Delhi Capitals,28th, Delhi, April 20
Mitchell Marsh,3,out,2,9.0,0.0,0.0,22.22,Delhi Capitals,28th, Delhi, April 20
Phil Salt †,4,out,5,3.0,1.0,0.0,166.66,Delhi Capitals,28th, Delhi, April 20
Manish Pandey,5,out,21,23.0,2.0,0.0,91.3,Delhi Capitals,28th, Delhi, April 20
Axar Patel,6,not out,19,22.0,1.0,0.0,86.36,Delhi Capitals,28th, Delhi, April 20
Aman Hakim Khan,7,out,0,2.0,0.0,0.0,0,Delhi Capitals,28th, Delhi, April 20
Lalit Yadav,8,not out,4,7.0,0.0,0.0,57.14,Delhi Capitals,28th, Delhi, April 20
Harry Brook,1,out,18,13.0,3.0,0.0,138.46,Sunrisers Hyderabad,29th, Chennai, April 21
Abhishek Sharma,2,out,34,26.0,3.0,1.0,130.76,Sunrisers Hyderabad,29th, Chennai, April 21
Rahul Tripathi,3,out,21,21.0,1.0,1.0,100,Sunrisers Hyderabad,29th, Chennai, April 21
Aiden Markram (c),4,out,12,12.0,1.0,0.0,100,Sunrisers Hyderabad,29th, Chennai, April 21
Heinrich Klaasen †,5,out,17,16.0,1.0,0.0,106.25,Sunrisers Hyderabad,29th, Chennai, April 21
Mayank Agarwal,6,out,2,4.0,0.0,0.0,50,Sunrisers Hyderabad,29th, Chennai, April 21
Marco Jansen,7,not out,17,22.0,1.0,0.0,77.27,Sunrisers Hyderabad,29th, Chennai, April 21
Washington Sundar,8,out,9,6.0,1.0,0.0,150,Sunrisers Hyderabad,29th, Chennai, April 21
Ruturaj Gaikwad,1,out,35,30.0,2.0,0.0,116.66,Chennai Super Kings,29th, Chennai, April 21
Devon Conway,2,not out,77,57.0,12.0,1.0,135.08,Chennai Super Kings,29th, Chennai, April 21
Ajinkya Rahane,3,out,9,10.0,0.0,0.0,90,Chennai Super Kings,29th, Chennai, April 21
Ambati Rayudu,4,out,9,9.0,1.0,0.0,100,Chennai Super Kings,29th, Chennai, April 21
Moeen Ali,5,not out,6,6.0,1.0,0.0,100,Chennai Super Kings,29th, Chennai, April 21
Wriddhiman Saha †,1,out,47,37.0,6.0,0.0,127.02,Gujarat Titans,30th, Lucknow, April 22
Shubman Gill,2,out,0,2.0,0.0,0.0,0,Gujarat Titans,30th, Lucknow, April 22
Hardik Pandya (c),3,out,66,50.0,2.0,4.0,132,Gujarat Titans,30th, Lucknow, April 22
Abhinav Manohar,4,out,3,5.0,0.0,0.0,60,Gujarat Titans,30th, Lucknow, April 22
Vijay Shankar,5,out,10,12.0,1.0,0.0,83.33,Gujarat Titans,30th, Lucknow, April 22
David Miller,6,out,6,12.0,0.0,0.0,50,Gujarat Titans,30th, Lucknow, April 22
Rahul Tewatia,7,not out,2,2.0,0.0,0.0,100,Gujarat Titans,30th, Lucknow, April 22
KL Rahul (c),1,out,68,61.0,8.0,0.0,111.47,Lucknow Super Giants,30th, Lucknow, April 22
Kyle Mayers,2,out,24,19.0,2.0,1.0,126.31,Lucknow Super Giants,30th, Lucknow, April 22
Krunal Pandya,3,out,23,23.0,2.0,1.0,100,Lucknow Super Giants,30th, Lucknow, April 22
Nicholas Pooran †,4,out,1,7.0,0.0,0.0,14.28,Lucknow Super Giants,30th, Lucknow, April 22
Ayush Badoni,5,out,8,6.0,0.0,0.0,133.33,Lucknow Super Giants,30th, Lucknow, April 22
Marcus Stoinis,6,out,0,1.0,0.0,0.0,0,Lucknow Super Giants,30th, Lucknow, April 22
Deepak Hooda,7,out,2,2.0,0.0,0.0,100,Lucknow Super Giants,30th, Lucknow, April 22
Prerak Mankad,8,not out,0,0.0,0.0,0.0,-,Lucknow Super Giants,30th, Lucknow, April 22
Ravi Bishnoi,9,not out,0,1.0,0.0,0.0,0,Lucknow Super Giants,30th, Lucknow, April 22
Matthew Short,1,out,11,10.0,2.0,0.0,110,Punjab Kings,31st, Wankhede, April 22
Prabhsimran Singh,2,out,26,17.0,1.0,2.0,152.94,Punjab Kings,31st, Wankhede, April 22
Atharva Taide,3,out,29,17.0,3.0,1.0,170.58,Punjab Kings,31st, Wankhede, April 22
Liam Livingstone,4,out,10,12.0,0.0,1.0,83.33,Punjab Kings,31st, Wankhede, April 22
Harpreet Singh,5,out,41,28.0,4.0,2.0,146.42,Punjab Kings,31st, Wankhede, April 22
Sam Curran (c),6,out,55,29.0,5.0,4.0,189.65,Punjab Kings,31st, Wankhede, April 22
Jitesh Sharma †,7,out,25,7.0,0.0,4.0,357.14,Punjab Kings,31st, Wankhede, April 22
M Shahrukh Khan,8,not out,0,0.0,0.0,0.0,-,Punjab Kings,31st, Wankhede, April 22
Harpreet Brar,9,out,5,2.0,1.0,0.0,250,Punjab Kings,31st, Wankhede, April 22
Rohit Sharma (c),1,out,44,27.0,4.0,3.0,162.96,Mumbai Indians,31st, Wankhede, April 22
Ishan Kishan †,2,out,1,4.0,0.0,0.0,25,Mumbai Indians,31st, Wankhede, April 22
Cameron Green,3,out,67,43.0,6.0,3.0,155.81,Mumbai Indians,31st, Wankhede, April 22
Suryakumar Yadav,4,out,57,26.0,7.0,3.0,219.23,Mumbai Indians,31st, Wankhede, April 22
Tim David,5,not out,25,13.0,0.0,2.0,192.3,Mumbai Indians,31st, Wankhede, April 22
Tilak Varma,6,out,3,4.0,0.0,0.0,75,Mumbai Indians,31st, Wankhede, April 22
Nehal Wadhera,7,out,0,1.0,0.0,0.0,0,Mumbai Indians,31st, Wankhede, April 22
Jofra Archer,8,not out,1,2.0,0.0,0.0,50,Mumbai Indians,31st, Wankhede, April 22
Virat Kohli (c),1,out,0,1.0,0.0,0.0,0,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Faf du Plessis,2,out,62,39.0,8.0,2.0,158.97,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Shahbaz Ahmed,3,out,2,4.0,0.0,0.0,50,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Glenn Maxwell,4,out,77,44.0,6.0,4.0,175,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Mahipal Lomror,5,out,8,6.0,1.0,0.0,133.33,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Dinesh Karthik †,6,out,16,13.0,2.0,0.0,123.07,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Suyash Prabhudessai,7,out,0,2.0,0.0,0.0,0,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Wanindu Hasaranga,8,out,6,7.0,0.0,0.0,85.71,Royal Challengers Bangalore,32nd, Bengaluru, April 23
David Willey,9,not out,4,2.0,1.0,0.0,200,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Vijaykumar Vyshak,10,out,0,1.0,0.0,0.0,0,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Mohammed Siraj,11,not out,1,1.0,0.0,0.0,100,Royal Challengers Bangalore,32nd, Bengaluru, April 23
Yashasvi Jaiswal,1,out,47,37.0,5.0,2.0,127.02,Rajasthan Royals,32nd, Bengaluru, April 23
Jos Buttler,2,out,0,2.0,0.0,0.0,0,Rajasthan Royals,32nd, Bengaluru, April 23
Devdutt Padikkal,3,out,52,34.0,7.0,1.0,152.94,Rajasthan Royals,32nd, Bengaluru, April 23
Sanju Samson (c)†,4,out,22,15.0,2.0,1.0,146.66,Rajasthan Royals,32nd, Bengaluru, April 23
Shimron Hetmyer,5,out,3,9.0,0.0,0.0,33.33,Rajasthan Royals,32nd, Bengaluru, April 23
Dhruv Jurel,6,not out,34,16.0,2.0,2.0,212.5,Rajasthan Royals,32nd, Bengaluru, April 23
Ravichandran Ashwin,7,out,12,6.0,2.0,0.0,200,Rajasthan Royals,32nd, Bengaluru, April 23
Abdul Basith,8,not out,1,1.0,0.0,0.0,100,Rajasthan Royals,32nd, Bengaluru, April 23
Ruturaj Gaikwad,1,out,35,20.0,2.0,3.0,175,Chennai Super Kings,33rd, Eden Gardens, April 23
Devon Conway,2,out,56,40.0,4.0,3.0,140,Chennai Super Kings,33rd, Eden Gardens, April 23
Ajinkya Rahane,3,not out,71,29.0,6.0,5.0,244.82,Chennai Super Kings,33rd, Eden Gardens, April 23
Shivam Dube,4,out,50,21.0,2.0,5.0,238.09,Chennai Super Kings,33rd, Eden Gardens, April 23
Ravindra Jadeja,5,out,18,8.0,0.0,2.0,225,Chennai Super Kings,33rd, Eden Gardens, April 23
MS Dhoni (c)†,6,not out,2,3.0,0.0,0.0,66.66,Chennai Super Kings,33rd, Eden Gardens, April 23
Narayan Jagadeesan †,1,out,1,3.0,0.0,0.0,33.33,Kolkata Knight Riders,33rd, Eden Gardens, April 23
Sunil Narine,2,out,0,3.0,0.0,0.0,0,Kolkata Knight Riders,33rd, Eden Gardens, April 23
Venkatesh Iyer,3,out,20,20.0,2.0,1.0,100,Kolkata Knight Riders,33rd, Eden Gardens, April 23
Nitish Rana (c),4,out,27,20.0,4.0,1.0,135,Kolkata Knight Riders,33rd, Eden Gardens, April 23
Jason Roy,5,out,61,26.0,5.0,5.0,234.61,Kolkata Knight Riders,33rd, Eden Gardens, April 23
Rinku Singh,6,not out,53,33.0,3.0,4.0,160.6,Kolkata Knight Riders,33rd, Eden Gardens, April 23
Andre Russell,7,out,9,6.0,0.0,1.0,150,Kolkata Knight Riders,33rd, Eden Gardens, April 23
David Wiese,8,out,1,2.0,0.0,0.0,50,Kolkata Knight Riders,33rd, Eden Gardens, April 23
Umesh Yadav,9,out,4,4.0,0.0,0.0,100,Kolkata Knight Riders,33rd, Eden Gardens, April 23
Varun Chakravarthy,10,not out,0,3.0,0.0,0.0,0,Kolkata Knight Riders,33rd, Eden Gardens, April 23
David Warner (c),1,out,21,20.0,2.0,1.0,105,Delhi Capitals,34th, Hyderabad, April 24
Phil Salt †,2,out,0,1.0,0.0,0.0,0,Delhi Capitals,34th, Hyderabad, April 24
Mitchell Marsh,3,out,25,15.0,5.0,0.0,166.66,Delhi Capitals,34th, Hyderabad, April 24
Sarfaraz Khan,4,out,10,9.0,0.0,1.0,111.11,Delhi Capitals,34th, Hyderabad, April 24
Manish Pandey,5,out,34,27.0,2.0,0.0,125.92,Delhi Capitals,34th, Hyderabad, April 24
Aman Hakim Khan,6,out,4,2.0,1.0,0.0,200,Delhi Capitals,34th, Hyderabad, April 24
Axar Patel,7,out,34,34.0,4.0,0.0,100,Delhi Capitals,34th, Hyderabad, April 24
Ripal Patel,8,out,5,6.0,0.0,0.0,83.33,Delhi Capitals,34th, Hyderabad, April 24
Anrich Nortje,9,out,2,2.0,0.0,0.0,100,Delhi Capitals,34th, Hyderabad, April 24
Kuldeep Yadav,10,not out,4,3.0,1.0,0.0,133.33,Delhi Capitals,34th, Hyderabad, April 24
Ishant Sharma,11,not out,1,1.0,0.0,0.0,100,Delhi Capitals,34th, Hyderabad, April 24
Harry Brook,1,out,7,14.0,0.0,0.0,50,Sunrisers Hyderabad,34th, Hyderabad, April 24
Mayank Agarwal,2,out,49,39.0,7.0,0.0,125.64,Sunrisers Hyderabad,34th, Hyderabad, April 24
Rahul Tripathi,3,out,15,21.0,0.0,0.0,71.42,Sunrisers Hyderabad,34th, Hyderabad, April 24
Abhishek Sharma,4,out,5,5.0,0.0,0.0,100,Sunrisers Hyderabad,34th, Hyderabad, April 24
Aiden Markram (c),5,out,3,5.0,0.0,0.0,60,Sunrisers Hyderabad,34th, Hyderabad, April 24
Heinrich Klaasen †,6,out,31,19.0,3.0,1.0,163.15,Sunrisers Hyderabad,34th, Hyderabad, April 24
Washington Sundar,7,not out,24,15.0,3.0,0.0,160,Sunrisers Hyderabad,34th, Hyderabad, April 24
Marco Jansen,8,not out,2,3.0,0.0,0.0,66.66,Sunrisers Hyderabad,34th, Hyderabad, April 24
Wriddhiman Saha †,1,out,4,7.0,0.0,0.0,57.14,Gujarat Titans,35th, Ahmedabad, April 25
Shubman Gill,2,out,56,34.0,7.0,1.0,164.7,Gujarat Titans,35th, Ahmedabad, April 25
Hardik Pandya (c),3,out,13,14.0,1.0,0.0,92.85,Gujarat Titans,35th, Ahmedabad, April 25
Vijay Shankar,4,out,19,16.0,1.0,1.0,118.75,Gujarat Titans,35th, Ahmedabad, April 25
David Miller,5,out,46,22.0,2.0,4.0,209.09,Gujarat Titans,35th, Ahmedabad, April 25
Abhinav Manohar,6,out,42,21.0,3.0,3.0,200,Gujarat Titans,35th, Ahmedabad, April 25
Rahul Tewatia,7,not out,20,5.0,0.0,3.0,400,Gujarat Titans,35th, Ahmedabad, April 25
Rashid Khan,8,not out,2,1.0,0.0,0.0,200,Gujarat Titans,35th, Ahmedabad, April 25
Rohit Sharma (c),1,out,2,8.0,0.0,0.0,25,Mumbai Indians,35th, Ahmedabad, April 25
Ishan Kishan †,2,out,13,21.0,1.0,0.0,61.9,Mumbai Indians,35th, Ahmedabad, April 25
Cameron Green,3,out,33,26.0,0.0,3.0,126.92,Mumbai Indians,35th, Ahmedabad, April 25
Tilak Varma,4,out,2,3.0,0.0,0.0,66.66,Mumbai Indians,35th, Ahmedabad, April 25
Suryakumar Yadav,5,out,23,12.0,3.0,1.0,191.66,Mumbai Indians,35th, Ahmedabad, April 25
Tim David,6,out,0,2.0,0.0,0.0,0,Mumbai Indians,35th, Ahmedabad, April 25
Nehal Wadhera,7,out,40,21.0,3.0,3.0,190.47,Mumbai Indians,35th, Ahmedabad, April 25
Piyush Chawla,8,out,18,12.0,1.0,1.0,150,Mumbai Indians,35th, Ahmedabad, April 25
Arjun Tendulkar,9,out,13,9.0,0.0,1.0,144.44,Mumbai Indians,35th, Ahmedabad, April 25
Jason Behrendorff,10,not out,3,4.0,0.0,0.0,75,Mumbai Indians,35th, Ahmedabad, April 25
Riley Meredith,11,not out,0,2.0,0.0,0.0,0,Mumbai Indians,35th, Ahmedabad, April 25
Jason Roy,1,out,56,29.0,4.0,5.0,193.1,Kolkata Knight Riders,36th, Bengaluru, April 26
Narayan Jagadeesan †,2,out,27,29.0,4.0,0.0,93.1,Kolkata Knight Riders,36th, Bengaluru, April 26
Venkatesh Iyer,3,out,31,26.0,3.0,0.0,119.23,Kolkata Knight Riders,36th, Bengaluru, April 26
Nitish Rana (c),4,out,48,21.0,3.0,4.0,228.57,Kolkata Knight Riders,36th, Bengaluru, April 26
Andre Russell,5,out,1,2.0,0.0,0.0,50,Kolkata Knight Riders,36th, Bengaluru, April 26
Rinku Singh,6,not out,18,10.0,2.0,1.0,180,Kolkata Knight Riders,36th, Bengaluru, April 26
David Wiese,7,not out,12,3.0,0.0,2.0,400,Kolkata Knight Riders,36th, Bengaluru, April 26
Virat Kohli (c),1,out,54,37.0,6.0,0.0,145.94,Royal Challengers Bangalore,36th, Bengaluru, April 26
